id,lat,lon,geometry,estaciones_servicio_200mts,estaciones_servicio_1000mts,subtes_200mts,subtes_1000mts,id_rc,porc_nbi,hacinamiento,densidad_pob,porc_mujeres,porc_varones,uni_privada_200mts,uni_publica_200mts,uni_privada_1000mts,uni_publica_1000mts,estadios_200mts,estadios_1000mts,river_1500mts,boca_1500mts,clubes_200mts,clubes_1000mts
bytearray(b'\x00\x1d\xdd\x81KQK\x90\xacS\x95\x92\x7f\xca\xa2B'),-34.572622,-58.48588969999999,POINT (-58.48588969999999 -34.572622),0.0,2.0,0.0,2.0,785,0.003787878787878788,2.0132575757575757,376681056.5118689,0.5409219190968956,0.4590780809031044,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0
"bytearray(b""\x00@\'\xb8\xcd\xa8Jl\x94`\x99\xc7$\x8fy\xca"")",-34.6337084,-58.4194457,POINT (-58.4194457 -34.6337084),0.0,4.0,0.0,0.0,2606,0.11191335740072202,2.891696750902527,157591841.49873534,0.5280898876404494,0.47191011235955055,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,7.0
bytearray(b'\x00\x82~\xaf\x1f\nB\x15\xbb\xca\xef\xf0\x90\x15\xb6\xac'),-34.63999039999999,-58.51785169999999,POINT (-58.51785169999999 -34.63999039999999),2.0,3.0,0.0,0.0,3382,0.016611295681063124,2.548172757475083,117849178.87495948,0.5397653194263363,0.4602346805736636,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,8.0
"bytearray(b'\x00\x9e9\x05g\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6089076,-58.44009229999999,POINT (-58.44009229999999 -34.6089076),1.0,7.0,0.0,0.0,2837,0.007211538461538462,2.25,272528664.21375775,0.5651709401709402,0.43482905982905984,0.0,0.0,2.0,1.0,0.0,0.0,0,0,0.0,2.0
bytearray(b'\x00\xe2\xa9\x11\xd3\xf3H}\x8a8~*!\xdf\x01\x8c'),-34.6034598,-58.42735009999999,POINT (-58.42735009999999 -34.6034598),0.0,5.0,0.0,2.0,2643,0.012544802867383513,2.032258064516129,453148356.94647413,0.564373897707231,0.43562610229276894,0.0,0.0,2.0,3.0,0.0,0.0,0,0,0.0,4.0
"bytearray(b'\x01\x0b\xf8Ng\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6139034,-58.4012418,POINT (-58.4012418 -34.6139034),0.0,4.0,0.0,5.0,1994,0.22295081967213115,2.439344262295082,520924170.2641946,0.5268817204301075,0.4731182795698925,0.0,0.0,4.0,0.0,0.0,0.0,0,0,1.0,1.0
"bytearray(b'\x01\x1c\x08\xd4g\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5878726,-58.44001350000001,POINT (-58.44001350000001 -34.5878726),1.0,4.0,0.0,1.0,1557,0.08270676691729323,3.0,108118117.75609806,0.518796992481203,0.48120300751879697,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6.0
bytearray(b'\x01k\xecdC4Mx\x86\xbdQ\xe5d\x84\xb9N'),-34.6202058,-58.41377819999999,POINT (-58.41377819999999 -34.6202058),0.0,4.0,0.0,2.0,2521,0.1134020618556701,2.3788659793814433,178930421.61990044,0.5341278439869989,0.4658721560130011,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0.0,5.0
bytearray(b'\x01|R\xeb\x12\x0fM\t\x9c\xefk\xea6f\x80\xe3'),-34.6148082,-58.39127269999999,POINT (-58.39127269999999 -34.6148082),0.0,2.0,0.0,2.0,69,0.09854014598540146,2.5474452554744524,282958927.57680106,0.5759312320916905,0.42406876790830944,2.0,0.0,2.0,3.0,0.0,0.0,0,0,0.0,2.0
bytearray(b'\x01\x95.\x0e4zD\x93\x8d\xf1\xab\xa8{\x86b\xdb'),-34.6874246,-58.4723307,POINT (-58.4723307 -34.6874246),0.0,1.0,0.0,0.0,3287,0.044444444444444446,2.926984126984127,102092479.23198567,0.5466377440347071,0.45336225596529284,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0
