"id","lat","lon","geometry","estaciones_servicio_200mts","estaciones_servicio_1000mts","subtes_200mts","subtes_1000mts","id_rc","porc_nbi","hacinamiento","densidad_pob","porc_mujeres","porc_varones","uni_privada_200mts","uni_publica_200mts","uni_privada_1000mts","uni_publica_1000mts","estadios_200mts","estadios_1000mts","river_1500mts","boca_1500mts","clubes_200mts","clubes_1000mts","tienda_mas_cercana","escuelas_cercanas_200m","escuelas_cercanas_1000m","paradas_cercanas_200m","paradas_cercanas_1000m","everdes_cercanos_200m","everdes_cercanos_1000m","hay_bicicleteros_200m","hospitales_cercanos_200m","hospitales_cercanos_1000m","distancia_al_hospital_mas_cercano","parroquias_cercanas_200m","parroquias_cercanas_1000m","comuna","negocios_cercanos_200m","negocios_cercanos_1000m","tiendas_cercanas_200m","supermercados_200m","supermercados_1000m","hipermercado_200m","hipermercado_1000m","autoservicio_200m","autoservicio_1000m","negocios_24hs_cercanos_1000m","negocios_findesemana_200m","mon_open","tue_open","wed_open","thu_open","fri_open","sat_open","sun_open","supermercado_chino","supermercado"
"bytearray(b'-!V\xaag\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5679824,-58.4569851,"POINT (-58.4569851 -34.5679824)",1,3,0,2,1073,0.00775193798449612,2.13565891472868,543507347.116699,0.575317604355717,0.424682395644283,0,0,0,0,0,0,0,0,0,1,1.43246691738463,1,48,9,80,1,16,1,0,0,1618.07537056707,1,5,13,2,31,13,0,6,0,2,2,23,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-:\xa4\xe0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6049849,-58.4492335,"POINT (-58.44923349999999 -34.6049849)",0,6,0,0,1610,0.0282485875706215,2.37005649717514,189825918.385236,0.542312276519666,0.457687723480334,0,0,0,0,0,0,0,0,0,3,124.531828949125,2,24,5,78,0,8,1,0,0,1220.69361972421,0,2,15,0,22,3,0,2,0,1,0,19,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-:\xa6\xd0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5978846,-58.3768091,"POINT (-58.3768091 -34.5978846)",0,0,0,10,210,0.0142857142857143,1.52142857142857,66566692.8390574,0.483568075117371,0.516431924882629,0,0,8,4,0,0,0,0,0,2,51.7858082837677,3,43,4,180,0,58,1,0,0,3179.61631039772,0,4,1,3,36,8,0,4,0,0,3,32,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-[\x13""g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6127777,-58.3932762,"POINT (-58.3932762 -34.6127777)",0,1,0,4,2001,0.0278637770897833,2.27554179566563,425070932.867378,0.556462585034014,0.443537414965986,0,0,9,2,0,0,0,0,0,2,132.887627280339,7,81,9,177,0,6,1,0,0,1346.71241037317,0,3,3,3,34,14,0,4,0,2,3,28,0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-[\x16kg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6058328,-58.3726532,"POINT (-58.3726532 -34.60583279999999)",0,0,0,13,4,0.0514705882352941,3.88235294117647,14664479.5874464,0.443181818181818,0.556818181818182,0,1,11,5,0,1,0,0,0,3,175.181980988296,1,51,0,141,0,43,1,0,0,3134.2837150369,1,3,1,0,32,5,0,3,0,0,0,29,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-[\x17mg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6178869,-58.44798,"POINT (-58.44797999999997 -34.61788689999999)",0,5,0,2,2700,0,2.2798833819242,484872137.484924,0.540920716112532,0.459079283887468,0,0,1,0,2,2,0,0,0,3,69.589417341546,0,44,3,77,0,9,0,0,0,1640.91842845174,0,2,6,0,20,4,0,4,0,1,0,15,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-\x07\xc3\xa0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6612403,-58.5114089,"POINT (-58.5114089 -34.6612403)",0,3,0,0,3460,0.138810198300283,2.81586402266289,100984074.011948,0.494969818913481,0.505030181086519,0,0,0,0,0,0,0,0,0,3,240.015538154475,2,13,1,45,0,9,1,0,0,1697.49502956484,0,2,9,0,9,1,0,0,0,1,0,8,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'-\x07\xc6Gg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6466935,-58.484206,"POINT (-58.48420599999997 -34.6466935)",0,4,0,0,3321,0.0591715976331361,3.08284023668639,125211212.032477,0.538387715930902,0.461612284069098,0,0,0,0,0,0,0,0,0,3,130.730463538161,0,26,7,56,2,14,0,0,0,3370.86744883148,0,3,9,1,10,1,0,0,0,0,1,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-\x07\xc7\x91g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6234709,-58.4276418,"POINT (-58.4276418 -34.6234709)",0,5,0,2,2810,0.00865800865800865,2.26406926406926,239585675.339349,0.577437858508604,0.422562141491396,0,0,0,0,0,0,0,0,0,7,158.47754464895,5,56,5,100,0,2,0,0,1,596.452430693147,0,2,6,1,30,2,0,6,0,0,1,24,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-\x07\xc8\xe0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5894004,-58.4068378,"POINT (-58.406837800000005 -34.58940039999999)",0,0,0,4,1871,0.0498687664041995,2.22834645669291,737631722.949165,0.580683156654888,0.419316843345112,0,0,1,0,0,0,0,0,0,0,86.814276867956,2,74,0,124,0,10,1,0,3,802.085418887837,0,4,2,1,35,3,0,6,1,3,0,26,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
