"id","lat","lon","geometry","estaciones_servicio_200mts","estaciones_servicio_1000mts","subtes_200mts","subtes_1000mts","id_rc","porc_nbi","hacinamiento","densidad_pob","porc_mujeres","porc_varones","uni_privada_200mts","uni_publica_200mts","uni_privada_1000mts","uni_publica_1000mts","estadios_200mts","estadios_1000mts","river_1500mts","boca_1500mts","clubes_200mts","clubes_1000mts","tienda_mas_cercana","escuelas_cercanas_200m","escuelas_cercanas_1000m","paradas_cercanas_200m","paradas_cercanas_1000m","everdes_cercanos_200m","everdes_cercanos_1000m","hay_bicicleteros_200m","hospitales_cercanos_200m","hospitales_cercanos_1000m","distancia_al_hospital_mas_cercano","parroquias_cercanas_200m","parroquias_cercanas_1000m","comuna","negocios_cercanos_200m","negocios_cercanos_1000m","tiendas_cercanas_200m","supermercados_200m","supermercados_1000m","hipermercado_200m","hipermercado_1000m","autoservicio_200m","autoservicio_1000m","negocios_24hs_cercanos_1000m","negocios_findesemana_200m","mon_open","tue_open","wed_open","thu_open","fri_open","sat_open","sun_open","supermercado_chino","supermercado","producto_1","producto_2","producto_3","producto_4","producto_5","categoria_1","categoria_2","categoria_3","categoria_4","categoria_5"
"bytearray(b'-\x07\xc3\xa0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6612403,-58.5114089,"POINT (-58.5114089 -34.6612403)",0,3,0,0,3460,0.138810198300283,2.81586402266289,100984074.011948,0.494969818913481,0.505030181086519,0,0,0,0,0,0,0,0,0,3,240.015538154475,2,13,1,45,0,9,1,0,0,1697.49502956484,0,2,9,0,9,1,0,0,0,1,0,8,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"7792798001712","7792798005888","7790290001193","0","0",194,197,0,0,0
"bytearray(b'-\x895Rg\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6244068,-58.4178986,"POINT (-58.4178986 -34.6244068)",0,2,0,2,2556,0.00709219858156028,2.45390070921986,271132104.595842,0.553468208092486,0.446531791907514,0,0,0,0,0,0,0,0,0,9,45.3810880355161,3,47,7,107,0,3,1,0,0,1297.75567273117,0,0,5,1,23,9,0,1,0,1,1,21,2,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"7792798012923","7792798005888","7793147118822","366277935829245","0",194,0,0,0,0
"bytearray(b'-\x91<xg\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5746414,-58.4472338,"POINT (-58.4472338 -34.5746414)",0,1,0,1,1158,0.0857142857142857,2.05357142857143,195166376.420249,0.55304347826087,0.44695652173913,0,0,1,1,0,0,0,0,1,1,18.3662117542037,7,49,2,75,0,9,0,0,0,2889.21918635914,0,4,13,0,26,9,0,2,0,1,0,23,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7622300864934","7792540260138","7793360005084","7794450090492","7795735000335",54,32,62,195,48
"bytearray(b'-\xd0\x8fag\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6100759,-58.4559025,"POINT (-58.45590249999999 -34.6100759)",0,5,0,0,2814,0.0381471389645777,2.62125340599455,193338048.763682,0.556133056133056,0.443866943866944,0,0,1,0,0,0,0,0,0,1,238.953196696415,0,38,1,70,0,1,0,0,1,788.315339235927,0,1,6,0,18,1,0,1,0,2,0,15,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"7792798779277","7792798001927","7792798001965","7795232000524","7792798002399",194,195,197,0,0
"bytearray(b'-\xe7S\xbfg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.620644,-58.3958032,"POINT (-58.39580319999999 -34.62064399999999)",0,5,0,4,2099,0.0487804878048781,2.08536585365854,361673804.068607,0.508771929824561,0.491228070175439,0,0,1,1,0,0,0,0,0,1,57.0300039671956,7,74,3,143,0,14,0,0,1,340.253946573182,0,2,3,0,23,6,0,0,0,2,0,21,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"7790290001193","7790895000218","7790895067617","7791843008294","0",5,197,195,0,0
"bytearray(b'-X\xffLg\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6081634,-58.4377377,"POINT (-58.4377377 -34.6081634)",0,8,0,0,2865,0.115384615384615,2.62307692307692,30555720.4958073,0.526392961876833,0.473607038123167,0,0,3,1,0,0,0,0,0,2,55.4794894071422,0,46,6,106,1,23,0,1,3,112.79043552616,0,2,6,1,37,2,0,3,0,2,1,32,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"7792798012947","7793147118884","7790950000160","7790975017518","7795232000524",194,197,195,0,0
"bytearray(b' \x1c5\xc3F\xbeI9\xb19Z\x08\xaf\x95`\x9b')",-34.6337618,-58.4970694,"POINT (-58.49706940000001 -34.63376179999999)",1,2,0,0,338,0.0618556701030928,2.86941580756014,105786258.675165,0.538922155688623,0.461077844311377,0,0,0,0,0,0,0,0,0,4,0.0676466170698404,0,24,0,67,1,17,0,0,0,1636.23581702562,0,3,10,0,14,2,0,1,0,0,0,13,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"17790000080217","17790000080224","7622210965035","17790957002508","77915481",3169,55,3187,48,1683
"bytearray(b' \xaa\xd5\x9bP\xf4I\xe4\x92\x12;\xfe\xaf2\xe7f')",-34.6119258,-58.4193416,"POINT (-58.4193416 -34.6119258)",0,5,0,2,2505,0.00475059382422802,2.21140142517815,433069202.401693,0.571428571428571,0.428571428571429,0,0,1,3,0,0,0,0,1,4,0,0,75,9,124,0,7,1,0,1,995.837193282015,0,4,5,4,37,11,1,6,1,1,2,30,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7798119220015","7792798003563","7792798009572","77959140","77963246",9,194,385,195,0
"bytearray(b' \xef\x95\x1dg\xfc\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6405735,-58.5265411,"POINT (-58.5265411 -34.6405735)",0,3,0,0,3395,0.0901960784313726,2.65098039215686,100614699.783461,0.547337278106509,0.452662721893491,0,0,0,0,0,1,0,0,0,5,67.1635197863036,6,30,5,72,0,9,0,0,0,1683.39839490206,0,2,9,3,14,6,0,0,0,1,3,13,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"7790895009846","0","0","0","0",4,0,0,0,0
"bytearray(b' qK\xa2\x19\xbdF\xe5\x89\x1d\xdc[S(iR')",-34.625245,-58.4188682,"POINT (-58.41886820000001 -34.625245)",0,2,0,2,2554,0.0576923076923077,2.19230769230769,233736694.290572,0.545112781954887,0.454887218045113,0,0,0,0,0,0,0,0,0,8,109.704855246047,4,46,8,108,0,3,1,0,0,1454.24121955406,0,1,5,1,23,6,0,2,0,1,1,20,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"7791579001132","7790290001179","7790975017518","0","0",67,197,195,0,0
