"id","geometry","longitude","latitude","negocios_cercanos_200m","negocios_cercanos_1000m","tiendas_cercanas_200m","supermercados_200m","supermercados_1000m","hipermercado_200m","hipermercado_1000m","autoservicio_200m","autoservicio_1000m","negocios_24hs_cercanos_1000m","negocios_findesemana_200m","mon_open","tue_open","wed_open","thu_open","fri_open","sat_open","sun_open","supermercado_chino","supermercado"
"bytearray(b'-!V\xaag\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4569851 -34.5679824)",-58.4569851,-34.5679824,2,31,13,0,6,0,2,2,23,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-:\xa4\xe0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.44923349999999 -34.6049849)",-58.4492335,-34.6049849,0,22,3,0,2,0,1,0,19,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-:\xa6\xd0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.3768091 -34.5978846)",-58.3768091,-34.5978846,3,36,8,0,4,0,0,3,32,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-[\x13""g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.3932762 -34.6127777)",-58.3932762,-34.6127777,3,34,14,0,4,0,2,3,28,0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-[\x16kg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.3726532 -34.60583279999999)",-58.3726532,-34.6058328,0,32,5,0,3,0,0,0,29,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-[\x17mg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.44797999999997 -34.61788689999999)",-58.44798,-34.6178869,0,20,4,0,4,0,1,0,15,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-\x07\xc3\xa0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.5114089 -34.6612403)",-58.5114089,-34.6612403,0,9,1,0,0,0,1,0,8,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'-\x07\xc6Gg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.48420599999997 -34.6466935)",-58.484206,-34.6466935,1,10,1,0,0,0,0,1,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-\x07\xc7\x91g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4276418 -34.6234709)",-58.4276418,-34.6234709,1,30,2,0,6,0,0,1,24,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-\x07\xc8\xe0g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.406837800000005 -34.58940039999999)",-58.4068378,-34.5894004,1,35,3,0,6,1,3,0,26,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-\x895Rg\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4178986 -34.6244068)",-58.4178986,-34.6244068,1,23,9,0,1,0,1,1,21,2,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-\x91<xg\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4472338 -34.5746414)",-58.4472338,-34.5746414,0,26,9,0,2,0,1,0,23,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'-\xc49\xd9(\x0b@\x98\x94\x1cR\xbc\x02K\xd4\xff')","POINT (-58.4576499 -34.62554910000001)",-58.4576499,-34.6255491,1,19,10,0,3,0,1,1,15,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-\xc8\x84\x84g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4361528 -34.5991083)",-58.4361528,-34.5991083,1,34,9,0,2,0,1,1,31,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-\xc8\x88\xd8g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.43113 -34.5987992)",-58.43113,-34.5987992,1,32,5,0,1,1,1,0,30,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-\xd0\x8fag\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.45590249999999 -34.6100759)",-58.4559025,-34.6100759,0,18,1,0,1,0,2,0,15,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'-\xd0\x90\x91g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.460400100000015 -34.5600226)",-58.4604001,-34.5600226,3,43,18,1,8,0,2,2,33,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'-\xdbB\xf3g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.39412759999999 -34.5997726)",-58.3941276,-34.5997726,2,51,11,0,10,0,2,2,39,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'-\xe7N\xf3g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.3853909 -34.6005803)",-58.3853909,-34.6005803,0,49,8,0,7,0,1,0,41,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
