"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5","monto_promedio","distancia_promedio","promedio_por_pedido","ganancia"
15,133027,299243,25451,286466,21735,0.138308733196416,0.1405224324491,0.150795733239629,0.150973379532926,0.156229682505791,222803.370012582,0.147365992184772,221222.402174158,1580.96783842391
18,17407,259360,137089,20273,24023,0.0432562841438967,0.108008133920161,0.12204306699199,0.145282721865157,0.147989577687504,135762.850936709,0.113315956921742,106833.872550426,28928.9783862834
60,405,131708,85794,2732,16262,0.0329981725501468,0.115778061615303,0.127703085115268,0.12783783260758,0.13037507100636,164665.56656906,0.106938444578932,139943.728374492,24721.8381945679
65,3283,243796,5760,271680,21741,0.00496874523566733,0.0940718895706758,0.119330901217348,0.145865487639743,0.146501153269322,307769.325840588,0.102147635386551,150960.662261042,156808.663579546
87,399,14194,19554,892,20159,0.0945065270000382,0.105780337594116,0.133908911329308,0.135293772744678,0.14428795624728,233099.449876402,0.122755500983084,181237.096872105,51862.3530042972
124,79249,18826,21803,2734,188,0.0592976205976306,0.0931669130103564,0.101865097162135,0.115638452988724,0.1181298622141,223175.860239643,0.0976195891945892,131813.597541124,91362.262698519
135,394,14392,217377,18341,703,0.0848799583893466,0.0966724051124213,0.102698873121684,0.10502375321157,0.105312918086112,349052.45810273,0.0989175815842268,219366.540440286,129685.917662444
187,468,85645,448,21495,58249,0.116774556488197,0.117671692374921,0.120175403796402,0.121945640858002,0.122216853596954,191051.720624214,0.119756829422895,163441.366387925,27610.3542362886
213,15817,16327,19640,16438,16785,0.131433115975621,0.14078527371775,0.144229782443615,0.147267439978832,0.148662230976199,210928.555027071,0.142475568618403,164210.008635831,46718.5463912404
230,5357,265,110,21723,62,0.0863722632305122,0.0914571572257538,0.0925775390814394,0.0966832450780174,0.100307442813118,212729.689823084,0.0934795294857682,135687.72757047,77041.9622526138
234,703,15841,394,21762,21765,0.0829655657769581,0.0967485215645678,0.101065116630699,0.106824880180416,0.106997263766978,187169.432092462,0.0989202695839238,115258.911425122,71910.52066734
251,713,14497,708,228,830,0.105280262152658,0.161353907319136,0.176119397472876,0.183666866230686,0.230785827005989,200138.125624897,0.171441252036269,156771.703226274,43366.4223986232
291,20128,609,79250,20839,20707,0.00700838239339951,0.060624260020452,0.0872887300172153,0.0888036539390262,0.0954789380665599,226032.383795377,0.0678407928873306,160654.553410723,65377.8303846542
297,53,185326,3461,261,49110,0.148094922829385,0.148621889431748,0.191144408943858,0.197160050452632,0.210541337672422,181563.422924773,0.179112521866009,107945.551829477,73617.8710952956
322,24937,17779,30775,4342,289160,0.152457425514403,0.155481302025309,0.306623316329221,0.309704981826106,0.319294273285931,293206.649860414,0.248712259796194,250032.198218699,43174.451641715
342,15817,25840,150994,19640,16438,0.00600578289258221,0.0571446726218983,0.0710011227078772,0.0778589319041996,0.0863323853495421,215302.98131095,0.0596685790952199,175755.735692734,39547.2456182156
346,18338,3299,19028,22529,380,0.182779798792935,0.183575082255638,0.219639265146892,0.219785264970863,0.23175714467736,178130.269371481,0.207507311168738,116192.143730449,61938.1256410324
370,270417,19574,23638,19557,292006,0.0465262332623512,0.057103162320448,0.0633557376217578,0.0698084360823117,0.0765781486536363,238640.059126455,0.062674343588101,162420.193551471,76219.8655749844
412,989,2668,516,14702,47591,0.0601115028824946,0.0717587706674942,0.0847227677636341,0.0922759655304958,0.0923889056966012,210171.106475566,0.080251582508144,176517.109043705,33653.9974318607
413,2501,19365,379,385,126,0.0547117201766572,0.073709113388486,0.0751994135491861,0.0830284733493819,0.0837280426582793,190430.386517015,0.0740753526243981,120517.865987224,69912.5205297907
474,101569,69518,14811,708,30775,0.193980424756475,0.198154294377617,0.251823436624139,0.26858173221641,0.297365334669912,193262.666918041,0.241981044528911,121841.713749202,71420.953168839
480,23638,182,295259,270417,19552,0.0734357773998725,0.0774004068706977,0.0793048309783961,0.0840349483171669,0.0947649967474069,188692.981793677,0.081788192062708,179895.770348888,8797.21144478902
529,5901,16159,37744,15666,56428,0.0107163839048176,0.109016566858679,0.111039984057098,0.122826478203422,0.125870952141204,276729.668441801,0.0958940730330441,194273.841840373,82455.8266014277
572,207629,21119,20303,20258,8743,0.05978344820732,0.0667346446903377,0.0794164004436564,0.0945686246189014,0.0961768302089371,196609.278711697,0.0793359896338305,156212.645615518,40396.6330961793
698,323,66565,63432,16983,20839,0.101189518382341,0.123850314369304,0.129049903531661,0.130848678489768,0.134092475031004,199888.518227699,0.123806177960816,175433.123771558,24455.3944561406
823,442,924,447,51545,19554,0.159082679780038,0.174991688566374,0.185178541487359,0.190429266381973,0.19045662866272,184508.518200574,0.180027760975693,178106.54126513,6401.97693544402
910,18836,20314,18999,100271,18648,0.0494180992063817,0.049755107552297,0.0556337214709535,0.0592444309826696,0.0608880465443986,168667.065850533,0.0549878811513401,102977.906548672,65689.159301861
929,259360,21475,21736,18351,16839,0.190461424831884,0.199216804963048,0.201896211766346,0.207417424035809,0.210841306162333,189250.088373799,0.201966634351884,115099.052322417,74151.0360513822
1539,16993,32390,15675,17584,15826,0.0842835180738845,0.0891139581897204,0.0943908576453155,0.097718738707426,0.103009677486084,165473.374521841,0.0937033500204861,164309.433395058,1163.9411267828
1933,242041,31540,4876,48759,202100,0.108827134504998,0.110103350126588,0.119700158687402,0.125261176678795,0.128374450504324,196837.486129799,0.118453254100421,153653.575031504,43183.9110982954
2147,79250,20839,20128,88202,609,0.0739661055509324,0.100051361489334,0.100185383405983,0.101216885028731,0.119687051409501,222934.808364159,0.0990213573768963,214117.1983108,8817.61005335901
2667,15412,437,24212,23155,19640,0.0494067561783699,0.189585291880469,0.215823956221526,0.233795484916063,0.238317915573547,234355.095887278,0.185385880953995,171517.244109658,62837.8517776201
2809,17584,452,32390,2735,2738,0.0779430053135521,0.0831521185515651,0.0920715130168513,0.0938766914731741,0.0939267973273149,191130.542621202,0.0881940251364915,166683.519569702,24447.0230514998
2826,131708,2590,61499,23657,25840,0.157795837544943,0.166565338339198,0.166813446123667,0.168374565247207,0.171482845723689,200885.643625412,0.166206406595741,131533.330298963,69352.3133264493
2836,49,79903,80182,5756,5142,0.0248845316947384,0.0848290751112262,0.0878266938383121,0.0967781972649866,0.099417858562357,264687.277887094,0.0787472712943241,51120.7304995052,213566.547387588
2912,47591,278510,989,516,2668,0.0325348676047202,0.0844780932467752,0.0890942884543141,0.0908584231948815,0.0931280530627412,208673.526330866,0.0780187451126864,169072.253783014,39601.2725478516
