"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5","monto_promedio_vecinos","distancia_promedio","monto_promedio","ganancia"
15,133027,299243,25451,286466,21735,0.14018278273303,0.141273630636122,0.152496514303236,0.153135284774769,0.158042712224298,829579.915642677,0.149026184934291,490639.684821971,338940.230820706
60,405,131708,2732,85794,16262,0.0333473977065146,0.116195397586376,0.128892746993683,0.128893428437398,0.129230398911061,755659.799022991,0.107311873927007,144841.758867599,610818.040155392
65,3283,5760,21741,5773,271680,0.00384694196421098,0.121898422484784,0.145588980329521,0.146409666154676,0.147422107966151,532802.089928619,0.113033223779869,156244.285440178,376557.804488441
87,399,14194,19554,20159,51545,0.0952754269592898,0.106798395715789,0.135142045873786,0.145617635981653,0.14718065546905,1012373.11243984,0.126002831999914,187580.395262629,824792.717177211
124,79249,18826,21803,188,22214,0.0619772441654551,0.0939985287665148,0.102429687400705,0.119328261799569,0.119406828280062,935470.04399641,0.0994281100824612,776584.879667282,158885.164329128
131,2736,27121,20159,292,22802,0.00016784932138755,0.0354652744755111,0.0477307192100347,0.0540912273505827,0.0613822667936087,754974.204575164,0.039767467430225,577443.848641961,177530.355933203
135,394,14392,18341,7013,20830,0.0854980508302019,0.0977508387773844,0.105027043948155,0.105245025128238,0.106975508552944,525377.824180913,0.100099293447385,454088.738711391,71289.0854695224
142,71164,277285,234572,21093,5956,0.0697724497489651,0.0701605896461406,0.0753224182886319,0.0844436815549772,0.0929948191617002,468299.64593186,0.078538791680083,400574.02124558,67725.6246862804
197,249124,9313,21776,25811,294067,0.0680205432364113,0.0737773625963662,0.0756007545698373,0.0793250528299429,0.0836604223009208,555093.911019913,0.0760768271066957,492154.39494229,62939.5160776227
200,192,214795,29165,19003,803,0.118691181314976,0.132180855624557,0.136664019959705,0.137548739148342,0.139714639910047,1193891.17271102,0.132959887191525,681681.87975288,512209.29295814
227,131708,2669,1413,405,265,0.046977132225801,0.121394217599929,0.124075084672504,0.130309360301422,0.132535046689261,337230.638572445,0.111058168297783,182180.490933407,155050.147639038
230,5357,265,110,21723,62,0.0886702671357336,0.0923639376320243,0.0943941208586958,0.0963807854182476,0.101227330806584,455710.618143016,0.0946072883702571,337048.315285048,118662.302857968
234,703,15841,394,21762,21765,0.0836422438446136,0.0956262802464489,0.102146459201593,0.109330039196768,0.109528611330514,971987.251986702,0.100054726763987,387702.163306255,584285.088680447
247,16330,59171,295282,571,5731,0.0762831447178784,0.0793796712492634,0.0845516989939475,0.0909010329381484,0.090962289107062,511457.472728174,0.0844155674012599,305462.647279707,205994.825448467
251,713,14497,708,228,830,0.10640001870248,0.163105812700786,0.177941896480122,0.185493307766511,0.233046967096601,789662.137827384,0.1731976005493,347697.241798271,441964.896029113
262,261,185326,53,3461,52644,0.121794681214046,0.128216206267964,0.128808841344961,0.14624258435045,0.153945990696873,761748.95309474,0.135801660774859,505632.089911474,256116.863183266
291,20128,609,79250,20839,20707,0.00744637295768611,0.06147165217004,0.0867833119353926,0.089813849013514,0.0962221277560169,865040.070058826,0.0683474627665299,249416.194170147,615623.875888679
297,185326,53,3461,261,49110,0.147819281733382,0.149477572237464,0.19254414287279,0.199037267332269,0.212785227369048,694919.123528538,0.180332698308991,195516.38075114,499402.742777398
342,15817,25840,150994,19640,16438,0.00176477707780276,0.0577277512055391,0.0717701051618554,0.0778741966993855,0.0873226198970607,1006345.73026607,0.0592918900083287,272860.77966297,733484.9506031
346,18338,3299,19028,22529,380,0.185074391482359,0.185910246160158,0.222998886726412,0.223157715980234,0.234196589214525,442265.041862263,0.210267565912738,240517.737522029,201747.304340234
370,270417,19574,23638,19557,292006,0.0469702068248878,0.0576845668085758,0.064235632315475,0.0705520152059956,0.0773966789342621,604503.430724492,0.0633678200178393,336209.800651546,268293.630072946
397,51545,4981,17313,19554,14194,0.139099466714943,0.144499494931343,0.151057319371896,0.151252579761513,0.15648021759463,783560.631769823,0.148477815674865,781398.194507841,2162.43726198189
398,399,250392,22923,14194,267,0.0935687286030701,0.102793506637769,0.102827333957627,0.106864452195367,0.107965983641812,839399.998734432,0.102804001007129,802614.021220299,36785.9775141333
413,2501,19365,379,385,126,0.0554991240151827,0.0742627391472471,0.0762260431622363,0.0838973586498081,0.08448096961582,801340.631714537,0.0748732469180588,166314.655062369,635025.976652168
529,16159,37744,15666,56428,18324,0.107599049237811,0.11208264539195,0.120606418528728,0.125403418164855,0.128577146555374,847155.125216627,0.118853735575744,201073.426304786,646081.698911841
572,207629,21119,20303,20258,8743,0.0604286354660782,0.0690833639022813,0.0798927717814686,0.0953770701964128,0.0972081662830535,584575.830671758,0.0803980015258589,323360.176424123,261215.654247635
698,323,66565,16983,63432,20839,0.102517815461031,0.128133248896162,0.132891855652108,0.132903805348157,0.135459522016949,728709.624169207,0.126381249474881,181573.283103562,547136.341065645
737,127025,14392,402,16974,17434,0.00008937350454133,0.0777832186472711,0.0809799801115517,0.0848207315984962,0.0913974469311959,646923.379093358,0.0670141501586112,541819.351803189,105104.027290169
821,264835,463,726,479,18826,0.116651009699376,0.128227652470158,0.133878251686379,0.134773501962122,0.142409476863438,471742.616848936,0.131187978536295,423776.453863332,47966.1629856036
823,442,924,447,19554,51545,0.160713196024306,0.175130221220065,0.187113429057167,0.192345244046405,0.192439797961172,541193.478468326,0.181548377661823,430127.297155289,111066.181313037
853,3907,2524,185180,11314,23153,0.089900226587788,0.12950603938658,0.200931643994787,0.220295796891067,0.236105587492535,869995.021005154,0.175347858870551,434935.107822975,435059.913182179
876,32390,18348,17584,16980,518,0.0674338875522509,0.102557761976419,0.111279580126845,0.125554430344764,0.132745538257835,689520.716970316,0.107914239651623,607319.908057048,82200.8089132677
910,20314,18836,18648,18999,100271,0.0524525737302105,0.0528801457913733,0.0576427839944639,0.0593124858898269,0.0599101566240957,515821.550158162,0.0564396292059941,106582.133277875,409239.416880287
928,15821,111225,17961,245,16327,0.136359678851299,0.13857293070909,0.141285967784075,0.144740552298151,0.154981700559311,346150.733484253,0.143188166040385,303180.360620983,42970.3728632698
929,259360,21475,21736,18351,16839,0.190437307999694,0.201041948158851,0.202405227241892,0.210354351560264,0.21315820168827,695180.795600793,0.203479407329794,119127.519153702,576053.276447091
1094,163744,18677,21059,20589,20846,0.116085168355139,0.118015367230475,0.122524232023056,0.131976256811625,0.151004349283501,512751.199986075,0.127921074740759,476216.294650516,36534.9053355592
1213,299243,23997,503,278352,44268,0.0991317388607184,0.0998274261445707,0.101707816970246,0.102991491527726,0.10926763306469,580910.888298732,0.10258522131359,473518.449565264,107392.438733468
2147,79250,20128,88202,20839,609,0.0750608433247532,0.100723318888186,0.102548136889941,0.103377034994003,0.120268556085483,774391.368582302,0.100395578036473,295481.733668904,478909.634913398
2458,22234,213614,22250,19640,15317,0.0946033660551205,0.122432257168819,0.133899939259404,0.136337244692727,0.138502828496092,881445.088071024,0.125155127134432,627590.639683937,253854.448387087
2476,2589,735,2821,623,16993,0.0446894681975641,0.0969844638096238,0.0986391419180459,0.106577730679884,0.118697544187369,1145340.09617356,0.0931176697584974,538160.368184753,607179.727988807
2667,15412,24212,23155,48388,19640,0.0517029235305658,0.218031232591851,0.236813631569907,0.240401992767108,0.240468418682582,844078.084467967,0.197483639828403,426048.834368392,418029.250099575
2836,49,80182,79903,5142,16597,0.027984054258002,0.0849628324914245,0.0857083115980845,0.0967146479627196,0.145473790790412,618805.436885787,0.0881687274201285,79364.9341004817,539440.502785305
