"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5"
16454,23941,2456,3457,19557,370,3.31627136402166,3.50995745033654,3.53277655481771,3.71847397056413,3.72574057546509
20318,20869,77096,19033,2985,32957,3.5254958355593,3.60109251458064,4.42351184019222,4.53792748835671,4.54295488084864
224256,19033,264292,36185,423,19544,4.58510795311329,4.81814466458173,5.28704543410569,5.36691838509793,5.4270510926345
17621,20273,508,137089,2762,189,3.44890755681607,3.95798485370246,4.35559599792731,4.40932476050302,4.46478512405749
150994,25840,19365,16572,16438,22802,2.97814677530967,3.04286102472171,3.18631314474354,3.26875953668205,3.3979648702944
3674,75543,18650,897,202388,483,2.59052415506027,2.88587121276609,3.12470788016767,3.13092356136177,3.27849686868073
105374,18799,267456,224073,18694,914,2.89956463610465,2.9753799015556,3.1804384284273,3.22663278409162,3.2853580717005
296510,3836,806,14194,32336,24131,3.79092880540611,3.97217694176035,4.17600756733251,4.17882695129747,4.24342625589022
236850,89053,21778,941,22000,32390,3.85919192339638,5.30638084771583,5.58716928664276,5.59062260024152,5.59686346228253
8419,82370,9313,5956,19013,25452,4.69553342039171,5.35953932882367,5.62942650583383,5.71434240273499,5.91499990025653
42477,212,27564,76166,94792,163662,4.82348311397805,5.00313486889788,5.54089279486617,5.63373274916484,5.84846995757582
19577,207629,19063,2147,20839,447,3.66883583912879,3.67387000582494,3.82124764461765,4.28375611762334,4.57890536317205
232440,1551,141097,2906,216371,49035,4.78299757353219,5.26217319168388,5.34021532187585,5.41098062393661,5.62663533414242
24937,322,17779,72,19343,27269,4.24568847225066,4.58039789550129,5.27589243098589,5.87492066646149,6.91469035697382
4813,1551,203748,48788,24342,203769,4.73813586687805,5.18836001787022,5.40001741551899,6.31573642793768,6.32141826879192
24224,463,570,20852,32896,461,2.92023272805809,2.9861902640956,2.98703211893575,3.00354307023735,3.06641695136834
295107,296524,28437,16186,286558,36326,3.85954973454881,3.98936667692065,3.99840180591711,4.05736754631358,4.07654552739592
3331,16179,19539,17275,16591,19547,6.01241906365485,6.07383984124947,6.15310430510215,6.21134018215504,6.32121637543244
64305,1927,253852,17636,286584,32390,3.35392645293021,3.83706480975833,3.83864898556318,3.973899844688,3.99643987396654
264265,236836,232423,132936,4814,176237,8.05496835568638,8.64728532256058,8.88889259908799,9.33761492955738,9.53203488944472
55628,501,499,21736,6459,137089,4.93013091953555,4.96131351173447,5.1273239269931,5.15812542740805,5.20666895339916
3583,19304,15300,17275,2781,3408,4.00263521522859,4.01370475669393,4.24995629099101,4.25612498586814,4.31232834718987
23667,303228,247562,276107,16643,301864,4.17663649597378,4.3917933848818,4.42331050306061,4.63283916855886,4.67927457351889
1375,183,203769,4792,24342,2662,10.8111053116395,11.8611547247853,12.1303102127139,12.4677174694487,12.7969213336891
308,903,266301,291560,484,176,3.30111009068741,3.59144215238509,4.19398414523882,4.28079191395213,4.36581320904533
3887,234356,21746,21043,21060,423,1.46387162280959,1.48188607824212,5.34228078118732,5.3557482338654,6.04882728325051
291906,16785,16263,19534,17000,16327,3.14545896888289,3.26792226285529,3.53817095528899,3.66400902370501,3.66658654232114
292221,249156,169007,212217,825,105152,3.97587889153996,6.16198517053585,7.58682428983714,7.688750869564,7.8168456931189
129,21,188,20159,21119,37744,3.94377969663578,4.28076241568141,4.40994150080118,4.41171847692034,4.47609824841328
989,412,18105,15834,2668,16494,1.92747906506186,2.41058822857716,2.45781893810995,2.6455015681124,2.64991287662937
282629,41,32957,409,14368,29628,3.92910749331294,4.70819462768839,4.7349843801018,4.74362245885078,4.80078003582894
6647,12464,2346,15300,18330,778,2.1474906479712,3.79880121330051,4.46523812162775,4.50120562698377,4.71734763500719
58249,114415,15816,220048,17377,21764,2.51058914959339,2.64042334401341,2.6839940916366,2.94446112945074,2.9607569983924
257283,253852,22504,17636,1927,17434,2.75398346319109,3.85705318656486,3.87527664479628,3.92356151430114,4.14734884977319
46057,1848,583,182,25451,157188,2.05235304832816,2.09067470680349,2.19340428218529,2.24870707262881,2.45750948620194
62562,19304,38602,825,62557,546,5.6261080393062,6.4061310477558,6.80491966766772,6.97998424070099,7.02067030470192
18657,200699,20357,379,284990,16647,3.58587105557047,3.76322806522533,3.84115656111297,3.9233347324855,4.28706360411463
22900,15302,14194,24,20852,1042,2.7021023065943,2.97999869046592,3.09275048825954,3.16366519294121,3.17920571929145
42824,267,20303,101580,264835,398,4.70925712901214,4.84822858754248,4.88432801437816,4.97197766709241,5.10383581164946
15969,15820,5780,15809,17375,3645,3.34132890743782,3.73397877095829,3.9473732308603,4.04524737984684,4.63612531904761
289160,278882,19310,58906,293024,253902,2.88366596535072,3.17794968888738,3.19590574823963,3.32114402095097,3.33942691701602
227,107,52610,15834,23241,2349,3.10924950808071,3.29950653086307,3.54580981073503,3.64900817702904,3.66286894648834
30668,20854,242041,10680,301973,284990,3.75742304784388,4.29904536450893,4.95475102388765,5.14326766118365,5.35826447599976
25460,21501,201,19556,321,683,2.37346754999484,2.44185125818469,2.54359128642292,2.69213895725902,2.84259066146162
271801,195,17627,15834,16494,19626,3.01378568730876,3.08200363337822,3.16763911430335,3.23486979061461,3.40096307705251
249094,17961,17252,15880,15817,301836,2.66566629770486,3.04415642768383,3.19703526495122,3.44206942667758,3.50317643994712
21991,20869,2985,30445,36199,16575,4.39770723264991,4.43981440334449,5.35518985291344,5.63345706409205,5.7748962398477
323,79250,292,22017,21119,2421,2.71150252931201,2.95927287448592,3.03048726910799,3.07087736698037,3.16980959955541
217461,556,4792,169007,225913,825,6.11058067247043,6.37561708655714,6.43031931059875,6.43105595808893,6.71753592041962
23526,23514,10200,2747,23710,58265,4.56298034525363,5.10581440216465,5.21425760000521,5.24299232294175,5.3371361793697
20838,18104,200699,284990,21489,20357,1.65860612047239,2.31755546379847,2.91415049472581,3.12912733660439,3.48525069930189
28460,2345,17778,114415,7819,5868,2.41441558462943,2.63281721075667,2.76056502378209,2.85028435475567,2.8967821927921
468,85645,21490,18109,7496,17778,1.11927295013955,2.41796935059394,2.45598624304228,2.4568792027959,2.65495754337357
192,214795,803,40001,4898,124,2.56703840937017,3.12445389695033,3.23273334994666,3.36467680188377,3.43617818016497
705,12464,68213,3408,3371,105152,3.65736089183456,5.02517052437478,5.11490777568713,5.23106716837392,5.34131115306957
787,72208,18146,2000,515,397,2.49650118808986,2.63451319414808,2.72088866484315,2.84171946424853,2.93044498455228
3461,420,28455,23657,243649,18334,4.64201692239855,5.29275671986682,5.36762417863451,5.42225734478647,5.45382509743203
267544,77096,32957,2346,20869,41,4.59861605165953,4.64834130944002,4.80571998137791,4.9137466342948,4.99106142401971
19588,23431,471,270425,21115,293080,3.79137980769226,3.98513540643025,3.98823118658054,4.14970435824818,4.18591014244457
202268,10317,18341,23939,19315,2735,3.32769504733815,3.66611923065081,3.74837611943762,3.84395269872595,3.90595593881037
275917,18679,18839,17377,3064,19324,2.58659336316167,2.69742545350958,2.76455593660785,2.93122243149524,2.9617853112476
23629,701,20284,192791,270425,18019,1.4237358028401,1.95705920174514,1.98771581716577,2.04964550366658,2.21813548581834
20885,20846,20606,18799,22251,267456,2.41983740141164,2.90124775255931,2.91256500814774,3.41342685850075,3.58002098373947
3287,15300,41,2346,778,15513,2.83439472707199,3.57237123986432,3.68795516449806,4.46783470106429,4.68851148080823
286574,342,218974,19063,207629,264835,4.18825514071119,4.42842830322984,4.46621497625204,4.52067384705885,4.54197884295254
20133,279,45844,18458,20146,452,2.64975447146009,2.73601994471746,2.82479991841104,2.9620277525946,3.00012090608828
217377,213614,18351,83,147,126,3.69888659291047,3.83478489460951,3.91304869836115,3.99387981081704,3.99878222411677
16974,14624,21762,3327,17053,21055,2.32616562439434,2.85991953781673,2.8678158840653,2.98314153082471,3.00649275605638
372,19033,264292,423,45219,266,3.7950788793286,4.34375081842166,4.64894913314407,4.95827407757165,5.0006845226987
46579,54,4622,30445,266,38602,5.75213376585173,6.82825510266534,6.8773285803431,7.07283449070065,7.1153937072694
